URL contains between non-word characters:,Rational
acpt,staging and development
cdn,website component
dc1stage,staging and development
demo,staging and development
dev,staging and development
dev1,staging and development
dev2,staging and development
dev3,staging and development
devchs,staging and development
devsecops,staging and development
django,staging and development
drtest,other
drupal,website components
evpneast,authentication
evpnwest,authentication
ezproxy,other
pebblebeach,staging and development
preprod,staging and development
qa,staging and development
sandbox,staging and development
sit,staging and development
stage,staging and development
stage2,staging and development
staging,staging and development
stg,staging and development
test,staging and development
uat,staging and development
vip,other
vpn,authentication
woc,other
www4,staging and development
