Website,Agency,Bureau
myafn.dodlive.mil,DOD,American Forces Network
www.afneurope.net,DOD,American Forces Network Europe
www.afnpacific.net,DOD,American Forces Network Pacific
at.dod.mil,DOD,Anti-Tamper Executive Agent
afd.defense.gov,DOD,Armed Forces Day
armedforcessports.defense.gov,DOD,Armed Forces Sports
la.defense.gov,DOD,ASD Legislative Affairs
basicresearch.defense.gov,DOD,Basic Research | Research Directorate
capstone.ndu.edu,DOD,Capstone
casl.ndu.edu,DOD,Center for Applied Strategic Learning
cco.ndu.edu,DOD,Center for Complex Operations
www.cdse.edu,DOD,Center for Development of Security Excellence (DCSA/CDSE)
cjsl.ndu.edu,DOD,Center for Joint and Strategic Logistics
wmdcenter.ndu.edu,DOD,Center for the Study of Weapons of Mass Destruction
dodcio.defense.gov,DOD,Chief Information Officer
dam.defense.gov,DOD,Chief Management Officer
www.ccpo.mil,DOD,Cloud Computing Program Office
cisa.ndu.edu,DOD,College for International Security Affairs
cic.ndu.edu,DOD,College of Information and Cyberspace
ctip.defense.gov,DOD,Combating Trafficking in Persons
comptroller.defense.gov,DOD,Comptroller
dacowits.defense.gov,DOD,Defense Advisory Committee on Women in the Services
dbb.defense.gov,DOD,Defense Business Board
dcips.defense.gov,DOD,Defense Civilian Intelligence Personnel System
www.dcaa.mil,DOD,Defense Contract Audit Agency
www.dcma.mil,DOD,Defense Contract Management Agency
www.dcsa.mil,DOD,Defense Counterintelligence and Security Agency
www.dss.mil,DOD,Defense Counterintelligence Security Service
www.defenseculture.mil,DOD,Defense Equal Opportunity Management Institute
www.dfas.mil,DOD,Defense Finance Accounting Service
www.dimoc.mil,DOD,Defense Imagery Management Operations Center
www.dinfos.dma.mil,DOD,Defense Information School
innovation.defense.gov,DOD,Defense Innovation Board
www.dia.mil,DOD,Defense Intelligence Agency
www.dla.mil,DOD,Defense Logistics Agency
www.dhra.mil,DOD,Defense Manpower Data Center (DMDC)
www.dma.mil,DOD,Defense Media Activity
doha.ogc.osd.mil,DOD,Defense Office of Hearings and Appeals
www.dpaa.mil,DOD,Defense POW/MIA Accounting Agency
dpcld.defense.gov,DOD,Defense Privacy and Civil Liberties Division
www.dsp.dla.mil,DOD,Defense Standardization Program
www.dspo.mil,DOD,Defense Suicide Prevention Office
www.dtra.mil,DOD,Defense Threat Reduction Agency
www.travel.dod.mil,DOD,Defense Travel Management Office (DTMO)
www.defense.gov,DOD,Department of Defense
www.dc3.mil,DOD,Department of Defense Cyber Crime Center (DC3)
www.dodig.mil,DOD,Department of Defense Inspector General
dodsoco.ogc.osd.mil,DOD,Department of Defense Standards of Conducts Office
oig.dia.mil,DOD,DIA Inspector General
pavilion.dinfos.edu,DOD,DINFOS Pavilion
www.dote.osd.mil,DOD,Director Operational Test and Evaluation (DOTE)
www.cac.mil,DOD,DOD Common Access Card
www.dodmantech.mil,DOD,DOD MANTECH
www.dodnafaccounting.defense.gov,DOD,DOD NAF Accounting
jnlwp.defense.gov,DOD,DOD Non-Lethal Weapons Program
open.defense.gov,DOD,DOD Open Government
www.repi.mil,DOD,DOD Readiness and Environmental Protection Initiative
www.cloud.mil,DOD,Enterprise Cloud
www.esd.whs.mil,DOD,Executive Services Directorate
dodcertpmo.defense.gov,DOD,Human Capital Management Office
irt.defense.gov,DOD,Innovative Readiness Training
inss.ndu.edu,DOD,Institute for National Strategic Studies
ismo.ndu.edu,DOD,International Student Management Office
jamrs.defense.gov,DOD,Joint Advertising Market Research and Studies
www.jecc.mil,DOD,Joint Enabling Capabilities Command
jfsc.ndu.edu,DOD,Joint Forces Staff College
keystone.ndu.edu,DOD,Keystone
www.businessdefense.gov,DOD,Manufacturing and Industrial Base Policy
www.metc.mil,DOD,Medical Education and Training Campus
valor.defense.gov,DOD,Military Awards for Valor
militarypay.defense.gov,DOD,Military Pay
minerva.defense.gov,DOD,Minerva Research Initiative
www.ndu.edu,DOD,National Defense University
ndupress.ndu.edu,DOD,National Defense University Press
www.airdomainintelligence.mil,DOD,National Intelligence Manager for Aviation (NIM-A)
www.nro.gov,DOD,National Reconnaissance Office
www.nsa.gov,DOD,National Security Agency
oig.nsa.gov,DOD,National Security Agency Inspector General
nwc.ndu.edu,DOD,National War College
www.norad.mil,DOD,North American Aerospace Defense Command
dodsioo.defense.gov,DOD,OASD for Intelligence Oversight
diversity.defense.gov,DOD,Office of Diversity Management and Equal Opportunity
opa.defense.gov,DOD,Office of People of Analytics (OPA)
business.defense.gov,DOD,Office of Small Business Programs (Business.Defense)
actuary.defense.gov,DOD,Office of the Actuary
dodmwrandresalepolicy.defense.gov,DOD,Office of the Deputy Assistant Secretary of Defense for Military Community & Family Policy (DoD MWR and Resale Policy)
ogc.osd.mil,DOD,Office of the General Counsel
ousdi.defense.gov,DOD,Office of the Under Secretary of Defense for Intelligence
data.defense.gov,DOD,Open Data
history.defense.gov,DOD,OSD Historical Office
www.dodcui.mil,DOD,OUSD Information and Security Policy
policy.defense.gov,DOD,OUSD Policy
www.pfpa.mil,DOD,Pentagon Force Protection Agency
www.prs.mil,DOD,Periodic Review Secretariat
pinnacle.ndu.edu,DOD,Pinnacle
purview.dodlive.mil,DOD,Purview (was DoDLive)
rwtf.defense.gov,DOD,Recovering Warrior Task Force
rcnsc.ndu.edu,DOD,Reserve Component National Security Course
rfpb.defense.gov,DOD,Reserve Forces Policy Board
