target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,is_gov
014.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
016.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
032.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
037.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
053.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
054.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
056.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
059.nhwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
0sud2zwje3.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
0www.usich.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
1010ez.med.va.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
11bm.xray.aps.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
12bm.xray.aps.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
12id.xray.aps.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
1603.treasury.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
1800quitnow.cancer.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
1861.history.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
18f.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
1940census.archives.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
1991.history.state.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2001-2009.commerce.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2016.bbg.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2016.trade.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2017dodtransition.defense.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
216.81.80.157.tsa.dhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
21apr.ed.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
222.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
263.usajobs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2fwww.usich.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2idb.xray.aps.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2nd-joint-icfa-icuil-workshop.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2www.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
2www.moneyfactorystore.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
311-accessibilitytestingandimprovements.app.cloud.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
338.gp5.pawg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
340bpricing.hrsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
340bpricingsubmissions.hrsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
340bregistration.hrsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
357-incomplete-years.app.cloud.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
360.dea.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
365-revenueovertimechart.app.cloud.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
367-update-how-it-to-how-revenue.app.cloud.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
382reporting.ost.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
399e-adss001.aw.dmz.pitc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3d.wr.usgs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3dparks.wr.usgs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3dprint.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3dprinting.sandia.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3dr.adlnet.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
3dvcell.ncbi.nlm.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
