Website,Public-Facing,Canonical List
1.usa.gov,Yes,Yes
10x.gsa.gov,Yes,Yes
11bm.xray.aps.anl.gov,Yes,Yes
12bm.xray.aps.anl.gov,Yes,Yes
12id.xray.aps.anl.gov,No,Yes
18f.gsa.gov,Yes,Yes
1950census.archives.gov,Yes,Yes
2016.bbg.gov,Yes,Yes
22007apply.gov,Yes,Yes
2idb.xray.aps.anl.gov,Yes,Yes
340bpricing.hrsa.gov,No,Yes
340bregistration.hrsa.gov,No,Yes
3dmaggs.larc.nasa.gov,Yes,Yes
405d.hhs.gov,Yes,Yes
4innovation-impl.cms.gov,No,Yes
4innovation.cms.gov,No,Yes
60plus.smokefree.gov,Yes,Yes
620forecasts.app.cloud.gov,No,Yes
7-seas.gsfc.nasa.gov,Yes,Yes
7id.xray.aps.anl.gov,Yes,Yes
7trestingstate.ctss.nih.gov,Yes,Yes
889.smartpay.gsa.gov,Yes,Yes
8astars.fas.gsa.gov,Yes,Yes
9-11commission.gov,No,Yes
911commission.gov,Yes,Yes
988lifeline.org,Yes,Yes
a2e.energy.gov,Yes,Yes
aab.larc.nasa.gov,Yes,Yes
aad.archives.gov,Yes,Yes
aas.gsa.gov,Yes,Yes
aasis.omha.hhs.gov,Yes,Yes
ab2d.cms.gov,Yes,Yes
abarrshvuat.ofac.treas.gov,No,Yes
abc.lbl.gov,Yes,Yes
abclab.jpl.nasa.gov,Yes,Yes
about.lanl.gov,Yes,Yes
above.nasa.gov,Yes,Yes
abp.cr.usgs.gov,Yes,Yes
abpdu.lbl.gov,Yes,Yes
access.earthdata.nasa.gov,Yes,Yes
access.ginniemae.gov,Yes,Yes
access.va.gov,Yes,Yes
access1.bpa.gov,No,Yes
accessclinicaldata.niaid.nih.gov,Yes,Yes
accessgudid.nlm.nih.gov,Yes,Yes
accessibility.18f.gov,Yes,Yes
accessibility.digital.gov,Yes,Yes
accesstocare.va.gov,Yes,Yes
account.ncbi.nlm.nih.gov,Yes,Yes
accounts.ahrq.gov,No,Yes
accounts.alcf.anl.gov,No,Yes
accounts.cels.anl.gov,No,Yes
accpiv.treasury.gov,No,Yes
accsso.treasury.gov,No,Yes
acd-ext.gsfc.nasa.gov,Yes,Yes
acd-pub.gsfc.nasa.gov,Yes,Yes
acd.od.nih.gov,Yes,Yes
ace-d3.cbp.gov,Yes,Yes
ace-d6.cbp.gov,Yes,Yes
ace-sat.cbp.gov,Yes,Yes
ace.cbp.gov,Yes,Yes
aci.nichd.nih.gov,Yes,Yes
acis.eoir.justice.gov,Yes,Yes
ack.usaccess.gsa.gov,No,Yes
acl.gov,Yes,Yes
acms.aphis.usda.gov,No,Yes
acode-browser.usatlas.bnl.gov,Yes,Yes
acode-browser2.usatlas.bnl.gov,Yes,Yes
acoms-impl.cms.gov,No,Yes
acoms.cms.gov,No,Yes
acq-map.od.nih.gov,No,Yes
acquisition.jpl.nasa.gov,Yes,Yes
acquisitionacademy.va.gov,Yes,Yes
acquisitiongateway.gov,Yes,Yes
acquisitions.usajobs.gov,Yes,Yes
acsl.ars.usda.gov,No,Yes
act24.nci.nih.gov,No,Yes
activate.larc.nasa.gov,Yes,Yes
actribe.nsopw.gov,Yes,Yes
actuary.usajobs.gov,Yes,Yes
acwi.gov,Yes,Yes
ad-esh.fnal.gov,Yes,Yes
ad.fnal.gov,Yes,Yes
adams.nrc.gov/ehd,Yes,Yes
adams.nrc.gov/wba,Yes,Yes
adamswebsearch2.nrc.gov,Yes,Yes
adc.arm.gov,Yes,Yes
address.ncjrs.gov,No,Yes
adfs.nsf.gov,No,Yes
adfs.pnnl.gov:49443,No,Yes
admin-ovcncvrw.ncjrs.gov,Yes,Yes
admin.mytva.com,Yes,Yes
adms.fnal.gov,Yes,Yes
adt.larc.nasa.gov,Yes,Yes
advancedprojects.pppl.gov,No,Yes
adviserinfo.sec.gov,Yes,Yes
advocacy.sba.gov,Yes,Yes
ael.gsfc.nasa.gov,Yes,Yes
aeon.hosc.msfc.nasa.gov,No,Yes
aeonivv2.hosc.msfc.nasa.gov,No,Yes
aeonivv2ms.hosc.msfc.nasa.gov,No,Yes
aeonivv2owa.hosc.msfc.nasa.gov,No,Yes
aeonivv2sk.hosc.msfc.nasa.gov,No,Yes
aeonivv2sp.hosc.msfc.nasa.gov,No,Yes
aeonms.hosc.msfc.nasa.gov,No,Yes
aeonodte.hosc.msfc.nasa.gov,No,Yes
aeonodte2.hosc.msfc.nasa.gov,No,Yes
aeonowa.hosc.msfc.nasa.gov,No,Yes
aeonsk.hosc.msfc.nasa.gov,No,Yes
aeonsp.hosc.msfc.nasa.gov,No,Yes
aero-fp.larc.nasa.gov,Yes,Yes
aerocenter.gsfc.nasa.gov,Yes,Yes
aeroelasticity.larc.nasa.gov,Yes,Yes
aeronet.gsfc.nasa.gov,Yes,Yes
aesics.cr.usgs.gov,Yes,Yes
aesir.gsfc.nasa.gov,No,Yes
aether.lbl.gov,Yes,Yes
afdc.energy.gov,Yes,Yes
afm.fmi.gov,No,Yes
afni.nimh.nih.gov,Yes,Yes
agclass.nal.usda.gov,Yes,Yes
age.edc.usda.gov,No,Yes
agencyportal.usajobs.gov,Yes,Yes
agents.floodsmart.gov,Yes,Yes
ageweb.irp.nia.nih.gov,No,Yes
aghealth.nih.gov,Yes,Yes
agid.acl.gov,Yes,Yes
agile.18f.gov,Yes,Yes
agingresearchbiobank.nia.nih.gov,Yes,Yes
agingstats.gov,Yes,Yes
agisportal.lanl.gov,No,Yes
aglab-prod.arsnet.usda.gov,Yes,Yes
aglearn.usda.gov,No,Yes
agresearchmag.ars.usda.gov,No,Yes
ahat.sc.egov.usda.gov,No,Yes
ahead.hiv.gov,Yes,Yes
ahed.nasa.gov,Yes,Yes
ai-workshop-2020.jpl.nasa.gov,Yes,Yes
ai.jpl.nasa.gov,Yes,Yes
aiaa-dpw.larc.nasa.gov,Yes,Yes
aidscape.usaid.gov,Yes,Yes
aidscapeuat.usaid.gov,No,Yes
ails.arc.nasa.gov,Yes,Yes
aim.nrel.gov,Yes,Yes
aipl.arsusda.gov,No,Yes
aiptest.rma.usda.gov,No,Yes
air663.app.cloud.gov,No,Yes
airbornescience.jpl.nasa.gov,Yes,Yes
airbornescience.nasa.gov,Yes,Yes
aircrafticing.grc.nasa.gov,Yes,Yes
airforce.usajobs.gov,Yes,Yes
airleakage-calc.ornl.gov,Yes,Yes
airmoss.jpl.nasa.gov,Yes,Yes
airmoss.ornl.gov,Yes,Yes
airnow-green.app.cloud.gov,No,Yes
airquality.gsfc.nasa.gov,Yes,Yes
airquality.lanl.gov,Yes,Yes
airrange.ssc.nasa.gov,Yes,Yes
airs.jpl.nasa.gov,Yes,Yes
airsar.jpl.nasa.gov,Yes,Yes
airsea.jpl.nasa.gov,Yes,Yes
airsl0.gesdisc.eosdis.nasa.gov,No,Yes
airsl1.gesdisc.eosdis.nasa.gov,No,Yes
airsl2.gesdisc.eosdis.nasa.gov,No,Yes
airsnrt.jpl.nasa.gov,Yes,Yes
airsteam.jpl.nasa.gov,Yes,Yes
ak-chin.nsopw.gov,Yes,Yes
ak3.acl.gov,No,Yes
akadev-ion-www.hhs.gov,No,Yes
akaprod-betobaccofree.hhs.gov,Yes,Yes
akaprod-digitalmedia.hhs.gov,Yes,Yes
akaprod-www.foodsafety.gov,Yes,Yes
akaprod-www.stopbullying.gov,Yes,Yes
akaqa-ion-www.hhs.gov,Yes,Yes
akastage-therealcost.betobaccofree.hhs.gov,No,Yes
akastage-www.stopbullying.gov,No,Yes
alaska.jobcorps.gov,Yes,Yes
albedomap.lbl.gov,Yes,Yes
albuquerque.jobcorps.gov,Yes,Yes
alcoholpolicy.niaaa.nih.gov,Yes,Yes
alcoholtreatment.niaaa.nih.gov,Yes,Yes
aldo.ctss.nih.gov,Yes,Yes
alert.nih.gov,No,Yes
alerts.pnnl.gov,Yes,Yes
all-sorns.app.cloud.gov,No,Yes
allaccess.lbl.gov,Yes,Yes
alpha-api.urs.eosdis.nasa.gov,No,Yes
alpha.cpars.gov,No,Yes
alpha.sam.gov,No,Yes
alpha.urs.eosdis.nasa.gov,No,Yes
alpha2.sam.gov,No,Yes
als.lbl.gov,Yes,Yes
alshub.als.lbl.gov,Yes,Yes
alsusweb.lbl.gov,No,Yes
alvarezphysicsmemos.lbl.gov,Yes,Yes
alzped.nia.nih.gov,Yes,Yes
amac.lbl.gov,Yes,Yes
amberalert.ojp.gov,No,Yes
ambismobile.niaid.nih.gov,No,Yes
ambismobileqa.niaid.nih.gov,No,Yes
