target_url,source_list_final_url_websites
cheyenneriver.nsopw.gov,TRUE
sjogrens.nidcr.nih.gov,TRUE
del.cms.gov,TRUE
rounds.senate.gov,TRUE
service.pmel.noaa.gov,TRUE
test.marketplace-int.api.healthcare.gov,TRUE
macmdm.tsa.dhs.gov,TRUE
login.microsoftonline.com,TRUE
appsweb-old.ornl.gov,TRUE
kzurek.theory.caltech.edu,TRUE
yrbs-explorer.services-int.cdc.gov,TRUE
sam.gov,TRUE
ndclibrary.sec.usace.army.mil,TRUE
uspto.data.commerce.gov,TRUE
esgdata.gfdl.noaa.gov,TRUE
campedwards.ng.mil,TRUE
cisa.gov,TRUE
lifeline-auth.cms.gov,TRUE
ncsceast.csp.noaa.gov,TRUE
learningnucleus.energy.gov,TRUE
seeds.lbl.gov,TRUE
origin-qa-api.cbp.dhs.gov,TRUE
fungi.ars.usda.gov,TRUE
clia.powerappsportals.us,TRUE
creative.lbl.gov,TRUE
support.co-ops.nos.noaa.gov,TRUE
pnnl.gov,TRUE
auctiondemo.fcc.gov,TRUE
eta.lbl.gov,TRUE
mdphd.gpp.nih.gov,TRUE
solc.gsfc.nasa.gov,TRUE
api.cerebro.cloud.earthdata.nasa.gov,TRUE
dodcio.defense.gov,TRUE
lbl.gov,TRUE
hr.nih.gov,TRUE
gis.ipad.fas.usda.gov,TRUE
coldcaserecords.gov,TRUE
help.usaperformance.opm.gov,TRUE
adminsfs.opm.gov,TRUE
edms3.energy.gov,TRUE
testoffcycle.medicare.gov,TRUE
nwrcmap.cr.usgs.gov,TRUE
sso.sandia.gov,TRUE
imglib.lbl.gov,TRUE
nca2018.globalchange.gov,TRUE
metrics.sit.earthdata.nasa.gov,TRUE
pl.usembassy.gov,TRUE
cde.part.ucr.cjis.gov,TRUE
tst-home.grantsolutions.gov,TRUE
mail.opm.gov,TRUE
data-sandbox.ess-dive.lbl.gov,TRUE
lyster.tricare.mil,TRUE
radar.weather.gov,TRUE
datapoint.test.max.gov,TRUE
importws.consumersentinel.gov,TRUE
dev-drupal9-climate.woc.noaa.gov,TRUE
aipl.arsusda.gov,TRUE
test.grants.gov,TRUE
stoves.lbl.gov,TRUE
earlywarning.usgs.gov,TRUE
ehbuat04t01.hrsa.gov,TRUE
446aw.afrc.af.mil,TRUE
agency.uat.usajobs.gov,TRUE
lz.lbl.gov,TRUE
qa.usembassy.gov,TRUE
fs2.acl.gov,TRUE
wayback.archive-it.org,TRUE
nsldstraining.ed.gov,TRUE
tap.nigc.gov,TRUE
catch.ncis.navy.mil,TRUE
ntia.gov,TRUE
vn.usembassy.gov,TRUE
commerce.gov,TRUE
iqies.cms.gov,TRUE
gwenergy.lbl.gov,TRUE
mrsi.erdc.dren.mil,TRUE
equality.house.gov,TRUE
cyclotron.lbl.gov,TRUE
hq2008.bnl.gov,TRUE
jira.dev.cms.gov,TRUE
reginquiries.consumerfinance.gov,TRUE
staging-webitest.opm.gov,TRUE
wyandotte.nsopw.gov,TRUE
mobile.ahrq.gov,TRUE
d2d.gsa.gov,TRUE
my.usgs.gov,TRUE
getinternet.gov,TRUE
nasa.gov,TRUE
nwisrl.ars.usda.gov,TRUE
airleakage-calc.ornl.gov,TRUE
alerts.weather.gov,TRUE
state.okta.com,TRUE
prodhr.np2.cloud.navy.mil,TRUE
eprojectbuilder.lbl.gov,TRUE
morelle.house.gov,TRUE
review.orau.gov,TRUE
indpol.staging.acqebiz.mil,TRUE
frieda.lbl.gov,TRUE
nnaccess.nn.ornl.gov,TRUE
lar.bnl.gov,TRUE
aram-pilot.pnnl.gov,TRUE
pe.usembassy.gov,TRUE
emp.lbl.gov,TRUE
cscrip.ntia.gov,TRUE
federalist-cf03235f-a054-4178-aafb-4e1e61e0d42c.sites.pages.cloud.gov,TRUE
epfup.usps.gov,TRUE
energy.gov,TRUE
offices.sc.egov.usda.gov,TRUE
albuquerque.fbi.gov,TRUE
cms.nrd.gov,TRUE
cfcgiving.opm.gov,TRUE
draftmmt.earthdata.nasa.gov,TRUE
search.dhs.gov,TRUE
pacificarea.uscg.mil,TRUE
medsun.preprod.fda.gov,TRUE
business-qa.ornl.gov,TRUE
registries.ncats.nih.gov,TRUE
aspr.hhs.gov,TRUE
edit.whistleblowers.gov,TRUE
eew-test1.wr.usgs.gov,TRUE
ddc.hud.gov,TRUE
mu2emag-docdb.fnal.gov,TRUE
i94.cbp.dhs.gov,TRUE
owshiny.epa.gov,TRUE
leadership.opm.gov,TRUE
sftp.wipp.energy.gov,TRUE
t962.fnal.gov,TRUE
shiny.epa.gov,TRUE
poopspagestorage.z13.web.core.windows.net,TRUE
famauth-qa.wildfire.gov,TRUE
app.epa.gov,TRUE
usa.gov,TRUE
cjis.gov,TRUE
pingprod.fnal.gov,TRUE
solruat.opm.gov,TRUE
ccmc.gsfc.nasa.gov,TRUE
sg-sp.tsa.dhs.gov,TRUE
nsteps.epa.gov,TRUE
daac.ornl.gov,TRUE
lhea.gsfc.nasa.gov,TRUE
enterpriseregistration.sec.gov,TRUE
learn.hsinuat.dhs.gov,TRUE
home.grantsolutions.gov,TRUE
usgs.gov,TRUE
exagraph.lbl.gov,TRUE
access-board.gov,TRUE
ees.lbl.gov,TRUE
uspto.gov,TRUE
nvaaz1bpcn11.care1.va.gov,TRUE
hobbes.lbl.gov,TRUE
controls2.als.lbl.gov,TRUE
hub.cms.gov,TRUE
jira.grantsolutions.gov,TRUE
shared.semantics.cancer.gov,TRUE
login.casm.dhs.gov,TRUE
sourcebook.acus.gov,TRUE
smallworlds.cels.anl.gov,TRUE
ohcrheast.tsa.dhs.gov,TRUE
core.trac.usajobs.gov,TRUE
airnow.app.cloud.gov,TRUE
netops-dev-vpn.ornl.gov,TRUE
uscis.gov,TRUE
therealcost.betobaccofree.hhs.gov,TRUE
ninr.nih.gov,TRUE
mbda.commerce.gov,TRUE
fws.gov,TRUE
sass.fletc.dhs.gov,TRUE
click.mail.energystar.gov,TRUE
aglearn.usda.gov,TRUE
ad-mgmt-vpn.ornl.gov,TRUE
myarmycivilianservice.usajobs.gov,TRUE
safety.navy.afpims.mil,TRUE
epa.gov,TRUE
eirruat.opm.gov,TRUE
sso.arm.gov,TRUE
staging.vote.gov,TRUE
vcf.gov,TRUE
share-author.hsinuat.dhs.gov,TRUE
pre-page.energy.gov,TRUE
voanews.com,TRUE
apps.orau.gov,TRUE
accounts.google.com,TRUE
idp.nwave.noaa.gov,TRUE
laser-research.lbl.gov,TRUE
eoffer-test.fas.gsa.gov,TRUE
orise.orau.gov,TRUE
legacy.www.sbir.gov,TRUE
wwtg.gov,TRUE
hybridcooling.lbl.gov,TRUE
rmonti.shinyapps.io,TRUE
dodsoco.ogc.osd.mil,TRUE
hoscopp4sk.hosc.msfc.nasa.gov,TRUE
amo-tools.ornl.gov,TRUE
staging1.dhs.gov,TRUE
ahrq.gov,TRUE
hls.gsfc.nasa.gov,TRUE
vine.dhs.gov,TRUE
nrel.gov,TRUE
nij.ojp.gov,TRUE
tsaenrollmentbyidemia.tsa.dhs.gov,TRUE
dbmws.freqcoord.ntia.gov,TRUE
egp.wildfire.gov,TRUE
caribbean-florida.water.usgs.gov,TRUE
hsrd.research.va.gov,TRUE
nlm.nih.gov,TRUE
ascend-dm.ctss.nih.gov,TRUE
nugo.lbl.gov,TRUE
sas.aws.ncdc.navy.mil,TRUE
gsasolutionssecure.gsa.gov,TRUE
cmweb.llnl.gov,TRUE
gridintegration.lbl.gov,TRUE
pki.dimc.dhs.gov,TRUE
data.acl.gov,TRUE
e-qiptest.opm.gov,TRUE
cmt.usgs.gov,TRUE
certdwdev.opm.gov,TRUE
nightsky.jpl.nasa.gov,TRUE
tsunami.gov,TRUE
staging-dhsprecheck.dhs.gov,TRUE
spd15revision.gov,TRUE
testint.dhs.gov,TRUE
erd.llnl.gov,TRUE
schedule.cc.nih.gov,TRUE
gbi.ornl.gov,TRUE
prevention.usajobs.gov,TRUE
blueangels.navy.mil,TRUE
nlmpubs.nlm.nih.gov,TRUE
clinregs.niaid.nih.gov,TRUE
learning.anl.gov,TRUE
archives.nida.nih.gov,TRUE
llnl.gov,TRUE
dol.gov,TRUE
entp.hud.gov,TRUE
ampx.ornl.gov,TRUE
developer.grantsolutions.gov,TRUE
earthnow.usgs.gov,TRUE
certeopf.opm.gov,TRUE
edclpdsftp.cr.usgs.gov,TRUE
nvd.nist.gov,TRUE
weblogin.lanl.gov,TRUE
dhs.gov,TRUE
fiscaldata.treasury.gov,TRUE
impl1a.ies.api.healthcare.gov,TRUE
researchstudies.nida.nih.gov,TRUE
pfastt.epa.gov,TRUE
xdb.lbl.gov,TRUE
emsl.pnnl.gov,TRUE
fireballs-lb.ndc.nasa.gov,TRUE
hsi.arc.nasa.gov,TRUE
auth.launchpad.nasa.gov,TRUE
preprod-tsaprecheckbytelos.tsa.dhs.gov,TRUE
opm.gov,TRUE
res-cds-portal1.nrc.gov,TRUE
944fw.afrc.af.mil,TRUE
clintonwhitehouse3.archives.gov,TRUE
nsf.gov,TRUE
access.ginniemae.gov,TRUE
benefits.ornl.gov,TRUE
etd.ice.gov,TRUE
csi-rt-sat.cbp.dhs.gov,TRUE
remoteaccess.epa.gov,TRUE
nichd.nih.gov,TRUE
testint-media.dhs.gov,TRUE
lageos.gsfc.nasa.gov,TRUE
fmtbnwest.usmc.afpims.mil,TRUE
osscm.ed.gov,TRUE
riverstreamassessment.epa.gov,TRUE
demo-dev.dtect.dhs.gov,TRUE
search.adr.gov,TRUE
dcvpn.fhfa.gov,TRUE
maia.usno.navy.mil,TRUE
help.test.usajobs.gov,TRUE
trip.dhs.gov,TRUE
security.nih.gov,TRUE
visdev.globe.gov,TRUE
nimhd.nih.gov,TRUE
elasticfleet.ornl.gov,TRUE
agencyresourcecenter.uat.usajobs.gov,TRUE
ss.tvc.tsa.dhs.gov,TRUE
code.pnnl.gov,TRUE
jplwater.nasa.gov,TRUE
orator-map.epa.gov,TRUE
github.com,TRUE
share-pub-ext.dhs.gov,TRUE
disasters-nasa.hub.arcgis.com,TRUE
icisreportsxi.epa.gov,TRUE
provider.tva.gov,TRUE
rsa.fnal.gov,TRUE
api.finder.healthcare.gov,TRUE
test1.ses.api.healthcare.gov,TRUE
tsaapps.tsa.dhs.gov,TRUE
911.gov,TRUE
test4.ies.api.healthcare.gov,TRUE
sdwis.epa.gov,TRUE
usms.usajobs.gov,TRUE
disc.gsfc.nasa.gov,TRUE
tdb.epa.gov,TRUE
images.eftps.gov,TRUE
darrp.noaa.gov,TRUE
massloading.smce.nasa.gov,TRUE
test5.ses.api.healthcare.gov,TRUE
wsearch.nlm.nih.gov,TRUE
enterprisemanagement.army.mil,TRUE
webeoc-qa.response.epa.gov,TRUE
services.usaccess.gsa.gov,TRUE
hoscopp4owa.hosc.msfc.nasa.gov,TRUE
v1.designsystem.digital.gov,TRUE
pnnpcn0105.care.va.gov,TRUE
gulfspillrestoration.noaa.gov,TRUE
auth.nih.gov,TRUE
matb-files.larc.nasa.gov,TRUE
httds.dc3n.navy.mil,TRUE
maps2.chs.coast.noaa.gov,TRUE
globaldossier.uspto.gov,TRUE
eagle-i.ornl.gov,TRUE
dev-tsdr.etc.uspto.gov,TRUE
impl2.dsrs.api.healthcare.gov,TRUE
wcms-testint.dhs.gov,TRUE
wamssoprd.epa.gov,TRUE
srag.jsc.nasa.gov,TRUE
bfelob.devl.max.gov,TRUE
dashrecipientsportalstg.cdc.gov,TRUE
prod-t.healthcare.gov,TRUE
itsmweb.dc3n.navy.mil,TRUE
ets.fdic.gov,TRUE
desktop.vdi.doe.gov,TRUE
nwrcmap3.cr.usgs.gov,TRUE
sm.myhealth.va.gov,TRUE
aorras04-external.ornl.gov,TRUE
science.gsfc.nasa.gov,TRUE
nbrc.gov,TRUE
srs.fdic.gov,TRUE
ladmf.ntis.gov,TRUE
epa-visl.ornl.gov,TRUE
biocollections.ars.usda.gov,TRUE
tsd.fly.faa.gov,TRUE
localhelp.test.healthcare.gov,TRUE
webwtc.opm.gov,TRUE
login.fr.cloud.gov,TRUE
ada.gov,TRUE
psonar4.fnal.gov,TRUE
uspis.gov,TRUE
astrocloud.wr.usgs.gov,TRUE
catweb2.sba.gov,TRUE
armweb0-cms.ornl.gov,TRUE
future.usap.gov,TRUE
jasonsmith.house.gov,TRUE
ftbf.fnal.gov,TRUE
gdo152.llnl.gov,TRUE
atmosphere-imager.gsfc.nasa.gov,TRUE
hydrosource.ornl.gov,TRUE
uat0.mcr.api.healthcare.gov,TRUE
lemistraining.fws.gov,TRUE
daacglobus5-prod.ornl.gov,TRUE
ncler.acl.gov,TRUE
hhs.gov,TRUE
niscwebprod02.nhgri.nih.gov,TRUE
sams.grc.nasa.gov,TRUE
secpriv.lbl.gov,TRUE
obesityresearch.nih.gov,TRUE
cfccharities.opm.gov,TRUE
pdglive.lbl.gov,TRUE
www2.banknet.gov,TRUE
assignmentcenter.uspto.gov,TRUE
sfs.opm.gov,TRUE
lamppz02.gsfc.nasa.gov,TRUE
webmail.epa.gov,TRUE
logilasn.usajobs.gov,TRUE
smokiespermits.nps.gov,TRUE
last-uts.nlm.nih.gov,TRUE
uspstfnominations.ahrq.gov,TRUE
ocrtraining.cit.nih.gov,TRUE
physics.lbl.gov,TRUE
authfs.launchpad-sbx.nasa.gov,TRUE
adc-prod-cms1.ornl.gov,TRUE
usda.gov,TRUE
fermi.servicenowservices.com,TRUE
fpr.tsa.dhs.gov,TRUE
wmat.nsopw.gov,TRUE
faces.opm.gov,TRUE
nrcs.prod.usda.gov,TRUE
dtn113.ccs.ornl.gov,TRUE
info.luna.nasa.gov,TRUE
staging.niem.gov,TRUE
appstaging.orau.gov,TRUE
northernarapaho.nsopw.gov,TRUE
ornl.gov,TRUE
pmssec.dpm.psc.gov,TRUE
tnep.uscourts.gov,TRUE
ugv.cbp.dhs.gov,TRUE
webdatasheet.faa.gov,TRUE
xmltest.notams.faa.gov,TRUE
dw-dev.opm.gov,TRUE
faf.ornl.gov,TRUE
ofacp.nih.gov,TRUE
gh.usembassy.gov,TRUE
remote.opm.gov,TRUE
nci.llnl.gov,TRUE
xml.notams.faa.gov,TRUE
stagorise.orau.gov,TRUE
nida.nih.gov,TRUE
takeheart.ahrq.gov,TRUE
cms.gov,TRUE
artemis.wr.usgs.gov,TRUE
login.ezproxy.nihlibrary.nih.gov,TRUE
edit.testint.cbp.gov,TRUE
ttp.dhs.gov,TRUE
aws-bod1801.ornl.gov,TRUE
acppnm.ornl.gov,TRUE
web-old.ccs.ornl.gov,TRUE
data.pmel.noaa.gov,TRUE
imp2b.healthcare.gov,TRUE
tsaprecheckbytelos.tsa.dhs.gov,TRUE
inciweb.wildfire.gov,TRUE
finder.dev.healthcare.gov,TRUE
safetyscreening.ctss.nih.gov,TRUE
crucible.grantsolutions.gov,TRUE
wa-ut.ornl.gov,TRUE
sarcoma.cancer.gov,TRUE
ictbaseline.access-board.gov,TRUE
insp.pnnl.gov,TRUE
conservation.gov,TRUE
bo.usembassy.gov,TRUE
bensguide.gpo.gov,TRUE
topmed.nhlbi.nih.gov,TRUE
wcmsstg1-demo.dhs.gov,TRUE
webapps.ncua.gov,TRUE
humanfactors.arc.nasa.gov,TRUE
search.frtib.gov,TRUE
liangtan.lbl.gov,TRUE
