Name,Id,Description,URL,Dynamic,Integrated,Length,Unique Websites
Digital Analytics Program,dap,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dap.md,https://analytics.usa.gov/data/live/sites-extended.csv,TRUE,TRUE,10000,1165
List of Federal .gov Domains,gov,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotgov-registry-federal.md,https://raw.githubusercontent.com/cisagov/dotgov-data/main/current-federal.csv,TRUE,TRUE,1400,955
List of .mil Domains,dotmil,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotmil_domains.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/dotmil_domains.csv,FALSE,TRUE,80,--
pulse.cio.gov snapshot,pulse,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/pulse-snapshot.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/pulse.csv,FALSE,TRUE,24600,13563
web.mil List of Customers,mil1,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotmil-websites.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/dotmil_websites.csv,FALSE,TRUE,1000,61
List of websites from OMB's 21st Century IDEA engagement,omb_idea,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/omb_idea.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/omb_idea.csv,TRUE,TRUE,9600,1451
Other .gov Websites,other,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/other-websites.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/other-websites.csv,TRUE,TRUE,10,0
EOT2020 Archive,2020_eot,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/eot2020.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/2020_eot.csv,FALSE,TRUE,8200,828
digitaldashboard.gov .mil list,mil2,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotmil_websites-2.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/dotmil_websites-2.csv,FALSE,TRUE,300,35
usa.gov list of websites,usa_gov,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/usagov_directory.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/usagov_directory.csv,FALSE,TRUE,1400,4
List of US Courts websites,uscourts,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/uscourts.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/uscourts.csv,FALSE,TRUE,300,260
List of URLs in US Government Manual,gov_man,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/us_government_manual-2022.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/gov_man-22.csv,FALSE,TRUE,6000,47
List of URLs in OIRA's Inventory Report of information collections,oira,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/oira.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/oira.csv,FALSE,TRUE,7500,54
List of Site Scanning Final URL websites,final_url_websites,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/site-scanning-final-websites.md,https://raw.githubusercontent.com/GSA/federal-website-index/refs/heads/main/data/source-lists/final_url_websites.csv,FALSE,TRUE,13000,--
